Date,Trick,Bet.Succeed,Bet.Fail,Outcome,Comments,X
20-06-12,Ollie,5,1,0,NA,NA
20-06-12,Ollie,4,1,1,NA,NA
20-06-12,Ollie,2,1,1,NA,NA
20-06-12,Ollie,10,1,1,NA,NA
20-06-12,FS Boardslide,1,10,0,NA,NA
20-06-12,FS Pop Shuv It,1,6,0,^Above, Gap in recording,NA
20-06-12,FS Pop Shuv It,1,5,0,NA,NA
20-06-12,FS Pop Shuv It,1,5,1,^ Not good, but yeah,NA
20-06-12,FS Pop Shuv It,1,5,0,NA,NA
20-06-12,FS Pop Shuv It,1,5,1,NA,NA
20-06-12,FS Pop Shuv It,1,3,1,NA,NA
20-06-12,FS Pop Shuv It,1,3,1,NA,NA
20-06-12,FS Pop Shuv It,1,3,1,NA,NA
20-06-12,FS Pop Shuv It,1,2,0,Toe touch,NA
20-06-12,FS Pop Shuv It,1,2.5,1,NA,NA
20-06-12,FS Pop Shuv It,1,2,1,^ Might’ve missed one trial here,NA
20-06-12,FS Pop Shuv It,1,2.5,0,NA,NA
20-06-12,Fakie FS Pop Shuv It,2,1,1,NA,NA
20-06-12,Fakie FS Pop Shuv It,2,1,0,NA,NA
20-06-12,Kickflip,1,8,1,It was really clean, too!,NA
20-06-12,Kickflip,1,5,0,^ Omit,NA
20-06-12,Kickflip,1,6.5,0,NA,NA
20-06-12,Kickflip,1,6.5,0,NA,NA
20-06-12,FS 180,3,1,1,NA,NA
20-06-12,FS 180,3,1,1,NA,NA
20-06-12,FS 180,2.5,1,1,^ Omit,NA
20-06-15,Ollie,2,3,1,NA,NA
20-06-15,Ollie,3,4,1,NA,NA
20-06-15,Ollie,2,1,1,NA,NA
20-06-15,FS 5050,3,4,1,NA,NA
20-06-15,FS 5050,4,5,1,^ Omit + omitted case when lack of commitment,NA
20-06-15,FS 5050,1,1,0,NA,NA
20-06-15,BS Boardslide,3,7,0,NA,^ Next to grass
20-06-15,BS Boardslide,2,7,0,^ Many omit,v Street
20-06-15,BS Boardslide,3,5,0,NA,NA
20-06-15,BS Boardslide,3,5,0,NA,NA
20-06-15,BS Boardslide,3,5,0,NA,NA
20-06-15,BS Boardslide,1,4,0,NA,NA
20-06-15,BS Boardslide,1,4,0,NA,NA
20-06-15,BS Boardslide,1,4,1,NA,NA
20-06-15,BS Boardslide,1,4,0,NA,NA
20-06-15,FS Noseslide,2,7,1,More of a stall,NA
20-06-15,FS Noseslide,3,2,1,More of a stall,NA
20-06-17,Ollie,2,1,1,NA,NA
20-06-17,Nollie,1,4,1,NA,NA
20-06-17,Nollie,1,4,1,NA,NA
20-06-17,Nollie,1,3,1,NA,NA
20-06-17,Nollie,1,3,1,NA,NA
20-06-17,Nollie,1,3,1,NA,NA
20-06-17,Nollie,1,2,1,NA,NA
20-06-17,Nollie,1,3,1,NA,NA
20-06-17,Switch FS Pop Shuv It,1,3,0,NA,NA
20-06-17,Switch FS Pop Shuv It,1,4,0,NA,NA
20-06-17,Switch FS Pop Shuv It,1,4,0,NA,NA
20-06-17,Switch FS Pop Shuv It,1,5,0,NA,NA
20-06-17,Switch Ollie,1,5,1,NA,NA
20-06-17,Switch Ollie,1,5,1,NA,NA
20-06-17,Switch Ollie,1,4,0,NA,NA
20-06-17,Nollie,1,4,1,NA,NA
20-06-17,Nollie,1,4,0,NA,NA
20-06-17,Nollie,1,4,1,NA,NA
20-06-17,Nollie,1,4,0,NA,Rule of “would it count in game of SKATE?”, ground touch
20-06-17,Nollie,1,3,1,NA,NA
20-06-17,Nollie,1,3,1,NA,NA
20-06-17,Nollie,1,3,1,NA,NA
20-06-17,Nollie,1,3,1,NA,NA
20-06-17,Kickflip,2,7,0,NA,NA
20-06-17,Kickflip,2,7,0,NA,NA
20-06-17,Heelflip,1,8,0,NA,Intriguing that odds increased here
20-06-17,Heelflip,1,7,0,NA,NA
20-06-17,Heelflip,1,7,0,Had a wonky spin, possible redo,NA
20-06-17,Fakie Ollie,1,3,1,NA,NA
20-06-17,Fakie Ollie,1,3,1,NA,NA
20-06-17,360 Pop Shuv It,1,10,0,NA,NA
20-06-17,360 Pop Shuv It,1,9,0,NA,Shin guards, need them
20-06-17,360 Pop Shuv It,1,10,0,NA,NA
20-06-17,360 Pop Shuv It,1,9,0,NA,NA
20-06-18,Nose Manual (3 sidewalk blocks),2,3,0,NA,NA
20-06-18,Nose Manual (3 sidewalk blocks),1,4,1,NA,NA
20-06-18,Nose Manual (3 sidewalk blocks),1,4,1,NA,NA
20-06-18,Nose Manual (3 sidewalk blocks),1,3,1,NA,NA
20-06-18,Nose Manual (3 sidewalk blocks),1,3,0,NA,NA
20-06-18,Nose Manual (3 sidewalk blocks),1,3,1,NA,NA
20-06-18,Nose Manual (3 sidewalk blocks),1,3,0,NA,NA
20-06-18,Nose Manual (3 sidewalk blocks),1,3,1,NA,NA
20-06-18,Nose Manual (3 sidewalk blocks),1,3,1,NA,NA
20-06-18,Nose Manual (3 sidewalk blocks),2,3,0,NA,NA
20-06-18,Nose Manual (3 sidewalk blocks),2,3,0,NA,NA
20-07-17,Nollie,2,3,1,NA,NA
20-07-17,Nollie,2,3,1,NA,NA
20-07-17,Nollie,1,1,1,NA,NA
20-07-17,Nollie,NA,NA,1,NA,NA
20-07-17,Nollie,NA,NA,1,NA,NA
20-07-17,Nollie,NA,NA,1,NA,NA
20-07-17,Nollie,NA,NA,1,NA,NA
20-07-17,Nollie,NA,NA,1,Bad one; near fall,Many omits
20-07-17,Nollie FS Shuvit,NA,NA,1,NA,NA
20-07-17,Nollie FS Shuvit,NA,NA,1,NA,NA
20-07-17,Nollie FS Shuvit,NA,NA,0,NA,NA
20-07-17,Varial Kickflip,NA,NA,0,After realizing to flip from back half of board,NA
20-07-17,Varial Kickflip,NA,NA,0,NA,NA
20-07-17,Varial Kickflip,NA,NA,0,NA,NA
20-07-17,Varial Kickflip,NA,NA,0,NA,NA
20-07-17,Varial Kickflip,2,3,0,NA,NA
20-07-17,Varial Kickflip,1,2,0,NA,NA
20-07-17,Varial Kickflip,1,2,0,NA,NA
20-07-17,Varial Kickflip,1,2,0,NA,NA
20-07-17,Varial Kickflip,1,3,0,Twinge in back,NA
20-07-17,Varial Kickflip,1,3,0,NA,NA
20-07-17,FS Pop Shuv It,NA,NA,1,NA,NA
20-07-17,FS Pop Shuv It,NA,NA,1,NA,NA
20-07-17,FS Pop Shuv It,NA,NA,0,NA,NA
20-07-17,Switch FS Pop Shuv It,NA,NA,0,NA,NA
20-07-17,Switch FS Pop Shuv It,NA,NA,0,NA,NA
20-07-17,Switch FS Pop Shuv It,NA,NA,0,NA,NA
20-07-17,Switch FS Pop Shuv It,NA,NA,0,NA,NA
20-07-17,Switch FS Pop Shuv It,NA,NA,1,NA,NA
20-07-17,Switch FS Pop Shuv It,NA,NA,1,NA,NA
20-07-20,Nollie,NA,NA,1,NA,NA
20-07-20,Nollie,NA,NA,1,NA,NA
20-07-20,Nollie,NA,NA,1,NA,NA
20-07-20,Nollie,NA,NA,1,NA,NA
20-07-20,Nollie,NA,NA,1,NA,NA
20-07-27,Nollie,1,1,1,NA,NA
20-07-27,Nollie,1,1,1,NA,NA
20-07-27,Nollie,1,1,1,NA,NA
20-07-27,Nollie,1,1,1,NA,NA
20-07-27,Nollie,1,1,0,NA,NA
20-07-27,Nollie,1,1,1,NA,NA
20-07-27,Nollie,1,1,0,NA,NA
20-07-27,FS Pop Shuv It,4,1,1,It works! Put back food out of way of shuv rotation. Out the end of tail then pull back to catch.,NA
20-07-27,FS Pop Shuv It,4,1,1,NA,NA
20-07-27,FS Pop Shuv It,4,1,0,NA,NA
20-07-27,FS Pop Shuv It,4,1,0,NA,NA
20-07-27,FS Pop Shuv It,4,1,0,NA,NA
20-07-27,FS Pop Shuv It,4,1,1,NA,NA
20-07-27,FS Pop Shuv It,4,1,1,NA,NA
20-07-27,FS 360 Pop Shuv It,NA,NA,0,NA,NA
20-07-27,FS 360 Pop Shuv It,NA,NA,0,NA,NA
20-07-27,FS 360 Pop Shuv It,NA,NA,1,NA,NA
20-07-27,FS 360 Pop Shuv It,NA,NA,1,NA,NA
20-07-27,Varial Kickflip,NA,NA,0,NA,NA
20-07-27,Varial Kickflip,NA,NA,0,NA,NA
20-07-27,Kickflip,NA,NA,0,NA,NA
20-07-27,Kickflip,NA,NA,0,NA,NA
20-07-27,Varial Kickflip,NA,NA,0,NA,NA
20-07-27,Varial Kickflip,NA,NA,0,NA,NA
20-07-27,Varial Kickflip,NA,NA,0,NA,NA
20-07-30,Nollie,1,2,1,NA,NA
20-07-30,Nollie,1,2,1,NA,NA
20-07-30,Nollie,1,2,1,NA,NA
20-07-30,Nollie,1,2,1,NA,NA
20-07-30,Nollie,1,2,1,NA,NA
20-07-30,BS Nollie 180,1,7,0,NA,NA
20-07-30,FS Nollie 180,1,4,0,NA,NA
20-07-30,FS Nollie 180,1,5,0,NA,NA
20-07-30,FS Nollie 180,1,5,0,NA,NA
20-07-30,FS Nollie 180,1,5,1,NA,NA
20-07-30,FS Nollie 180,1,5,0,NA,NA
20-07-30,FS Nollie 180,1,5,0,NA,NA
20-07-30,FS Nollie 180,1,5,1,Better success w popping from back pocket and jump over front pocket to anticipate where board will be,NA
20-07-30,BS Nollie 180,NA,NA,1,NA,NA
20-07-30,BS Nollie 180,NA,NA,0,NA,NA
20-07-30,BS Nollie 180,NA,NA,0,NA,NA
20-07-30,Fakie Kickflip,1,5,0,NA,NA
20-07-30,Fakie Kickflip,1,5,0,NA,NA
20-07-30,Fakie Kickflip,1,5,0,NA,NA
20-07-30,Fakie Heelflip,NA,NA,1,NA,NA
20-07-30,Fakie Heelflip,NA,NA,0,NA,NA
20-07-30,Fakie Heelflip,NA,NA,0,NA,NA
20-07-30,Fakie Heelflip,NA,NA,0,NA,NA
20-07-30,Fakie Heelflip,NA,NA,0,NA,NA
20-07-30,Fakie Kickflip,NA,NA,0,NA,NA
20-07-30,Fakie Kickflip,NA,NA,0,NA,NA
20-07-30,Varial Kickflip,NA,NA,0,NA,NA
20-07-30,Varial Kickflip,NA,NA,0,NA,NA
20-07-30,Varial Kickflip,NA,NA,0,NA,NA
20-07-30,Kickflip,2,7,0,NA,NA
20-08-06,Nollie,1,3,1,NA,NA
20-08-06,Nollie,1,3,1,NA,NA
20-08-06,Nollie,1,2,0,NA,NA
20-08-06,Nollie,1,2,1,NA,NA
20-08-06,Nollie,1,2,1,NA,NA
20-08-11,Nollie,1,2,1,NA,NA
20-08-11,Nollie,1,2,1,NA,NA
20-08-11,Nollie,1,1,1,NA,NA
20-08-11,Nollie,1,1,1,NA,NA
20-08-11,Nollie,1,1,1,NA,NA
20-08-11,Nollie,1,1,1,NA,NA
20-08-11,FS Smith Grind,NA,NA,0,NA,NA
20-08-11,FS Smith Grind,NA,NA,0,NA,NA
20-08-11,FS Smith Grind,1,11,0,NA,NA
20-08-11,FS Smith Grind,1,11,0,NA,NA
20-08-11,Fakie Switch FS Smith,NA,NA,0,Wrote this down as Fakie Front Smith but I don’t understand what that meant and listed below it this trick name which makes more sense,NA
