Trick,Hits to Attempts Ratio,Times Landed,Num of Attempts
FS 180,1,3,3
FS Noseslide,1,2,2
Fakie Ollie,1,2,2
Ollie,0.875,7,8
Nollie,0.875,49,56
Switch Ollie,0.75,3,4
FS Pop Shuv It,0.666666666666667,18,27
FS 5050,0.666666666666667,2,3
Nollie FS Shuvit,0.666666666666667,2,3
Nose Manual (3 sidewalk blocks),0.545454545454545,6,11
Fakie FS Pop Shuv It,0.5,1,2
FS Nollie 180,0.285714285714286,2,7
FS 360 Pop Shuv It,0.25,2,8
BS Nollie 180,0.25,1,4
Switch FS Pop Shuv It,0.2,2,10
Fakie Heelflip,0.2,1,5
Kickflip,0.111111111111111,1,9
BS Boardslide,0.111111111111111,1,9
FS Boardslide,0,0,1
Heelflip,0,0,6
360 Pop Shuv It,0,0,4
Varial Kickflip,0,0,18
Fakie Kickflip,0,0,5
FS Smith Grind,0,0,4
Fakie Switch FS Smith,0,0,2
